OUT,MID1,MID2,MID3,MID4,MID5,MID6,MID7,MID8,MID9,kingdom,phylum,classes,phylogeny
33,0,0,1,0,1,1,0,0,1,Archaea,"""Euryarchaeota""",Halobacteria,"Archaea ""Euryarchaeota"" Halobacteria Halobacteriales Halobacteriaceae Halostagnicola"
34,2,2,2,0,1,3,6,0,4,Archaea,"""Euryarchaeota""",Halobacteria,"Archaea ""Euryarchaeota"" Halobacteria Halobacteriales Halobacteriaceae Natronobacterium"
35,4,26,27,0,36,0,4,0,2,Archaea,"""Euryarchaeota""",Halobacteria,"Archaea ""Euryarchaeota"" Halobacteria Halobacteriales Halobacteriaceae Natronomonas"
36,0,1,1,0,4,1,1,0,1,Archaea,"""Euryarchaeota""",Methanobacteria,"Archaea ""Euryarchaeota"" Methanobacteria Methanobacteriales Methanobacteriaceae Methanosphaera"
37,1,0,0,0,0,0,1,0,0,Archaea,"""Euryarchaeota""",Methanococci,"Archaea ""Euryarchaeota"" Methanococci Methanococcales Methanocaldococcaceae Methanotorris"
38,12,47,46,10,72,23,59,9,50,Archaea,"""Euryarchaeota""",Methanopyri,"Archaea ""Euryarchaeota"" Methanopyri Methanopyrales Methanopyraceae Methanopyrus"
39,2,10,11,1,15,11,10,0,16,Archaea,"""Euryarchaeota""",Thermoplasmata,"Archaea ""Euryarchaeota"" Thermoplasmata Thermoplasmatales Thermoplasmatales_incertae_sedis Thermogymnomonas"
40,0,0,0,0,36,0,0,0,0,Bacteria,"""Acidobacteria""",Acidobacteria_Gp16,"Bacteria ""Acidobacteria"" Acidobacteria_Gp16   Gp16"
41,0,1,0,0,1,0,1,0,2,Bacteria,"""Acidobacteria""",Holophagae,"Bacteria ""Acidobacteria"" Holophagae Holophagales Holophagaceae Holophaga"
42,0,0,1,0,10,0,102,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria  Acidimicrobidae_incertae_sedis Ilumatobacter"
43,0,0,0,0,0,0,1,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Acidimicrobiales Acidimicrobiaceae Acidimicrobium"
44,0,0,3,1,1,0,5,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Acidimicrobiales Acidimicrobiaceae Ferrimicrobium"
45,0,0,0,0,1,0,3,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Acidimicrobiales Acidimicrobiaceae Ferrithrix"
46,0,0,0,0,29,0,0,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Acidimicrobiales Iamiaceae Iamia"
47,2,0,0,0,0,0,0,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Acidothermaceae Acidothermus"
48,0,0,42,0,1,0,0,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Actinomycetaceae Actinobaculum"
49,0,0,100,0,55,0,0,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Actinomycetaceae Actinomyces"
50,0,0,28,0,3,0,0,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Actinomycetaceae Varibaculum"
51,0,0,1,0,6,0,0,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Beutenbergiaceae Beutenbergia"
52,1,0,3,0,6,0,3,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Beutenbergiaceae Salana"
53,0,0,0,0,2,0,0,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Beutenbergiaceae Serinibacter"
54,1,0,0,0,2,0,1,0,1,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Bogoriellaceae Bogoriella"
55,0,1,0,0,0,0,4,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Cellulomonadaceae Paraoerskovia"
56,1,0,5,0,3,0,1,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Cellulomonadaceae Tropheryma"
57,0,0,115,0,172,0,174,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Corynebacteriaceae Corynebacterium"
58,2,0,20,0,46,0,56,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Corynebacteriaceae Turicella"
59,53,0,0,0,0,0,0,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Cryptosporangiaceae Cryptosporangium"
60,0,0,0,0,0,0,0,0,3,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Dermabacteraceae Brachybacterium"
61,1,0,0,0,2,0,0,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Dermabacteraceae Dermabacter"
62,2,0,8,0,2,0,55,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Dermabacteraceae Devriesea"
63,0,0,1,0,3,0,0,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Dermabacteraceae Helcobacillus"
64,0,0,1,0,2,0,1,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Dermacoccaceae Demetria"
65,3,0,8,0,18,0,5,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Dermatophilaceae Kineosphaera"
66,1,0,0,0,0,0,0,0,0,Bacteria,"""Actinobacteria""",Actinobacteria,"Bacteria ""Actinobacteria"" Actinobacteria Actinomycetales Frankineae_incertae_sedis Fodinicola"
